,time,type,size,price,direction
2019-12-16 09:30:00,34259.583550775,3,100,5788500,-1
2019-12-16 09:31:00,34318.744763673996,3,100,5784500,-1
2019-12-16 09:32:00,34379.600560069,1,30,5775800,-1
2019-12-16 09:33:00,34439.994464352996,3,100,5774200,-1
2019-12-16 09:34:00,34499.008617032996,1,100,5772100,1
2019-12-16 09:35:00,34559.698159682004,1,100,5785500,-1
2019-12-16 09:36:00,34619.994115469,1,100,5763200,1
2019-12-16 09:37:00,34679.698685003,1,100,5756400,1
2019-12-16 09:38:00,34739.699120679,1,100,5747700,1
2019-12-16 09:39:00,34799.20441823,1,200,5774500,-1
2019-12-16 09:40:00,34859.846015377,1,2,5756900,1
2019-12-16 09:41:00,34918.921502562,3,100,5753900,1
2019-12-16 09:42:00,34979.700219675,3,100,5748400,1
2019-12-16 09:43:00,35039.535444785,1,200,5761100,-1
2019-12-16 09:44:00,35099.700764635,1,100,5747500,1
2019-12-16 09:45:00,35157.020042293,1,100,5758700,1
2019-12-16 09:46:00,35219.718747529,1,100,5773900,-1
2019-12-16 09:47:00,35279.70548665,1,100,5758100,1
2019-12-16 09:48:00,35339.705866778,1,100,5759100,1
2019-12-16 09:49:00,35399.949445663,3,100,5767100,-1
2019-12-16 09:50:00,35459.829584566,1,100,5759900,1
2019-12-16 09:51:00,35519.82396904,1,100,5772600,-1
2019-12-16 09:52:00,35579.351059058,1,100,5757500,1
2019-12-16 09:53:00,35639.901134003,3,10,5767700,-1
2019-12-16 09:54:00,35699.707746821005,1,9,5761900,1
2019-12-16 09:55:00,35759.929303017,1,100,5757300,1
2019-12-16 09:56:00,35819.705887407,1,100,5755700,1
2019-12-16 09:57:00,35879.721179607004,3,100,5756600,1
2019-12-16 09:58:00,35939.706414865,1,100,5755600,1
2019-12-16 09:59:00,35999.830879275,3,15,5753800,1
2019-12-16 10:00:00,36056.521243152994,1,100,5748000,1
2019-12-16 10:01:00,36119.992099706,1,13,5751500,1
2019-12-16 10:02:00,36179.1616583,3,100,5760500,-1
2019-12-16 10:03:00,36239.129029266,3,18,5753700,1
2019-12-16 10:04:00,36299.641280922995,1,11,5753900,-1
2019-12-16 10:05:00,36359.410850828,1,15,5750200,-1
2019-12-16 10:06:00,36418.02547969,1,15,5747300,1
2019-12-16 10:07:00,36479.881514504,1,14,5748000,1
2019-12-16 10:08:00,36539.756395857,1,14,5747300,1
2019-12-16 10:09:00,36599.001026527,3,12,5756200,-1
2019-12-16 10:10:00,36659.936544336,3,14,5751900,1
2019-12-16 10:11:00,36719.934069472,1,100,5750700,1
2019-12-16 10:12:00,36779.069739722996,3,100,5758300,-1
2019-12-16 10:13:00,36839.778931296,1,100,5755400,-1
2019-12-16 10:14:00,36899.805524958,3,12,5758100,-1
2019-12-16 10:15:00,36959.99943261,1,12,5752100,1
2019-12-16 10:16:00,37018.940631151,1,100,5761200,-1
2019-12-16 10:17:00,37079.332170465,1,100,5763000,-1
2019-12-16 10:18:00,37139.00609041,3,14,5756700,1
2019-12-16 10:19:00,37199.053033316,3,100,5764200,-1
2019-12-16 10:20:00,37259.332725421,3,12,5763600,-1
2019-12-16 10:21:00,37318.677258947,1,100,5757700,1
2019-12-16 10:22:00,37379.894659285,1,10,5757200,1
2019-12-16 10:23:00,37439.827512787,3,30,5764300,-1
2019-12-16 10:24:00,37497.443728792,3,1,5758700,1
2019-12-16 10:25:00,37559.820915348,1,100,5759400,-1
2019-12-16 10:26:00,37619.502254095,3,11,5753600,1
2019-12-16 10:27:00,37679.78264719,1,10,5758900,-1
2019-12-16 10:28:00,37737.229560762,3,100,5756500,-1
2019-12-16 10:29:00,37799.783042282004,1,13,5759200,-1
2019-12-16 10:30:00,37859.752160173,3,100,5750200,1
2019-12-16 10:31:00,37918.875881866,1,100,5756600,-1
2019-12-16 10:32:00,37977.202959409,1,100,5760200,-1
2019-12-16 10:33:00,38039.913256652995,3,75,5754000,1
2019-12-16 10:34:00,38097.350433539,3,5,5754600,1
2019-12-16 10:35:00,38159.351855324,3,1,5753500,1
2019-12-16 10:36:00,38217.05463835,1,100,5754300,-1
2019-12-16 10:37:00,38279.160705804,1,11,5754000,-1
2019-12-16 10:38:00,38339.087345726,1,11,5755000,-1
2019-12-16 10:39:00,38398.066194333,3,11,5755700,-1
2019-12-16 10:40:00,38458.744685786,1,11,5746600,1
2019-12-16 10:41:00,38519.228639597,1,11,5752000,1
