,time,type,size,price,direction
2019-12-06 09:30:00,34259.997619986,5,9,11131200,1
2019-12-06 09:31:00,34318.732289131,3,26,11124900,-1
2019-12-06 09:32:00,34379.675707015,1,3,11098900,-1
2019-12-06 09:33:00,34439.823914044,1,20,11109400,-1
2019-12-06 09:34:00,34499.955454716,1,27,11089900,1
2019-12-06 09:35:00,34559.933278285,1,22,11136300,-1
2019-12-06 09:36:00,34619.877836073996,1,1,11136000,-1
2019-12-06 09:37:00,34679.195780961,1,10,11142300,1
2019-12-06 09:38:00,34739.463309562,1,25,11171500,-1
2019-12-06 09:39:00,34799.487977646,3,100,11154600,1
2019-12-06 09:40:00,34859.05747638,1,20,11170700,1
2019-12-06 09:41:00,34919.970405482,1,4,11193700,-1
2019-12-06 09:42:00,34979.602156116,3,22,11206100,-1
2019-12-06 09:43:00,35039.304354075,1,24,11209800,-1
2019-12-06 09:44:00,35097.757146878,1,100,11171800,1
2019-12-06 09:45:00,35159.908614585,1,25,11175100,1
2019-12-06 09:46:00,35219.826866562005,3,100,11174700,1
2019-12-06 09:47:00,35279.016794525,1,70,11204500,1
2019-12-06 09:48:00,35339.99005614,1,4,11229600,-1
2019-12-06 09:49:00,35399.903486926,1,36,11214300,-1
2019-12-06 09:50:00,35459.788603512,1,24,11211600,-1
2019-12-06 09:51:00,35519.568855448,1,25,11219900,-1
2019-12-06 09:52:00,35579.17544337,1,25,11197700,1
2019-12-06 09:53:00,35638.540856695,3,2,11187200,1
2019-12-06 09:54:00,35699.921894428,1,22,11211100,-1
2019-12-06 09:55:00,35759.103950542994,1,22,11200600,-1
2019-12-06 09:56:00,35819.867174565,1,100,11198900,-1
2019-12-06 09:57:00,35879.986888486004,1,100,11200300,-1
2019-12-06 09:58:00,35939.080603987,1,25,11186200,1
2019-12-06 09:59:00,35999.983452882996,1,24,11211500,-1
2019-12-06 10:00:00,36059.518700066,1,20,11213900,-1
2019-12-06 10:01:00,36119.706923656,3,100,11217800,-1
2019-12-06 10:02:00,36179.967482275,1,100,11219400,-1
2019-12-06 10:03:00,36239.875403768,1,21,11223100,1
2019-12-06 10:04:00,36299.988102687,1,100,11262300,-1
2019-12-06 10:05:00,36358.604438673996,1,100,11240000,1
2019-12-06 10:06:00,36419.522213423996,1,3,11234300,1
