,time,type,size,price,direction
2019-12-06 09:30:00,34200.936079727995,1.0,30.0,11173000.0,-1.0
2019-12-06 09:30:01,34201.999457037,1.0,25.0,11172500.0,-1.0
2019-12-06 09:30:02,34202.989342876004,3.0,100.0,11123100.0,1.0
2019-12-06 09:30:03,34203.999516062,1.0,25.0,11151900.0,-1.0
2019-12-06 09:30:04,34204.826628047995,1.0,100.0,11150500.0,-1.0
2019-12-06 09:30:05,34205.741334514,3.0,20.0,11154000.0,-1.0
2019-12-06 09:30:06,34206.982902454,3.0,30.0,11154000.0,-1.0
2019-12-06 09:30:07,34207.744555704,1.0,40.0,11115400.0,1.0
2019-12-06 09:30:08,34208.961999679,1.0,30.0,11147200.0,-1.0
2019-12-06 09:30:09,34209.375427372004,3.0,35.0,11152100.0,-1.0
2019-12-06 09:30:10,34210.994506614,5.0,100.0,11126600.0,1.0
2019-12-06 09:30:11,34211.998634618,1.0,1.0,11121200.0,1.0
2019-12-06 09:30:12,34212.951889766,1.0,40.0,11111900.0,1.0
2019-12-06 09:30:13,34213.553407879,1.0,23.0,11111900.0,1.0
2019-12-06 09:30:14,34214.993491524,1.0,1.0,11121200.0,1.0
2019-12-06 09:30:15,34215.996812671,3.0,25.0,11144500.0,-1.0
2019-12-06 09:30:16,34216.156490233,3.0,48.0,11149100.0,-1.0
2019-12-06 09:30:17,34217.769027731,1.0,25.0,11144100.0,-1.0
2019-12-06 09:30:18,34218.724335921004,1.0,25.0,11143900.0,-1.0
2019-12-06 09:30:19,34219.961831345,1.0,31.0,11111800.0,1.0
2019-12-06 09:30:20,34220.99088526,3.0,9.0,11181500.0,-1.0
2019-12-06 09:30:21,34221.664058042996,1.0,25.0,11111800.0,1.0
2019-12-06 09:30:22,34222.965790229,1.0,29.0,11110400.0,1.0
2019-12-06 09:30:23,34223.924508611,1.0,1.0,11126400.0,1.0
2019-12-06 09:30:24,34224.964063691004,3.0,100.0,11129500.0,1.0
2019-12-06 09:30:25,34225.969772257005,1.0,24.0,11112000.0,1.0
2019-12-06 09:30:26,34226.970652247,3.0,47.0,11142800.0,-1.0
2019-12-06 09:30:27,34227.88220987,1.0,25.0,11141800.0,-1.0
2019-12-06 09:30:28,34228.38348012,1.0,25.0,11141300.0,-1.0
2019-12-06 09:30:29,34229.674128032,3.0,38.0,11142800.0,-1.0
2019-12-06 09:30:30,34230.626365069,3.0,10.0,11121000.0,1.0
2019-12-06 09:30:31,34231.977638101,1.0,31.0,11141200.0,-1.0
2019-12-06 09:30:32,34232.4778903,3.0,31.0,11141200.0,-1.0
2019-12-06 09:30:33,,,,,
2019-12-06 09:30:34,34234.914267849,1.0,30.0,11143200.0,-1.0
2019-12-06 09:30:35,34235.782536105,1.0,100.0,11147300.0,-1.0
2019-12-06 09:30:36,34236.383215228,3.0,32.0,11142800.0,-1.0
2019-12-06 09:30:37,34237.985632214,1.0,51.0,11140000.0,-1.0
2019-12-06 09:30:38,34238.485903686,3.0,64.0,11142800.0,-1.0
2019-12-06 09:30:39,34239.656841922,5.0,87.0,11130600.0,1.0
2019-12-06 09:30:40,,,,,
2019-12-06 09:30:41,34241.990964947996,1.0,47.0,11139400.0,-1.0
2019-12-06 09:30:42,34242.926525603,1.0,29.0,11145300.0,-1.0
2019-12-06 09:30:43,34243.832000352995,1.0,100.0,11138500.0,-1.0
2019-12-06 09:30:44,34244.994181416,1.0,25.0,11135300.0,-1.0
2019-12-06 09:30:45,34245.777694811004,1.0,30.0,11143100.0,-1.0
2019-12-06 09:30:46,,,,,
2019-12-06 09:30:47,,,,,
2019-12-06 09:30:48,,,,,
2019-12-06 09:30:49,34249.80118568,1.0,70.0,11138600.0,-1.0
2019-12-06 09:30:50,34250.902613836,1.0,35.0,11139700.0,-1.0
2019-12-06 09:30:51,34251.90388887,1.0,27.0,11112400.0,1.0
2019-12-06 09:30:52,34252.90516131,1.0,20.0,11112300.0,1.0
2019-12-06 09:30:53,34253.707084535,1.0,38.0,11120900.0,1.0
2019-12-06 09:30:54,34254.307859541004,1.0,20.0,11121000.0,1.0
2019-12-06 09:30:55,,,,,
2019-12-06 09:30:56,34256.987608755,1.0,100.0,11138500.0,-1.0
2019-12-06 09:30:57,34257.976181273996,3.0,88.0,11135500.0,-1.0
2019-12-06 09:30:58,34258.613431347,1.0,20.0,11140800.0,-1.0
2019-12-06 09:30:59,34259.997619986,5.0,9.0,11131200.0,1.0
2019-12-06 09:31:00,34260.916768462004,1.0,48.0,11121400.0,1.0
2019-12-06 09:31:01,34261.818114935,3.0,100.0,11129300.0,1.0
2019-12-06 09:31:02,34262.425240041004,1.0,100.0,11143900.0,-1.0
2019-12-06 09:31:03,34263.967686674,1.0,34.0,11123000.0,1.0
2019-12-06 09:31:04,34264.471714489,3.0,99.0,11124300.0,1.0
2019-12-06 09:31:05,34265.923994157994,1.0,65.0,11149200.0,-1.0
2019-12-06 09:31:06,34266.859827324,1.0,14.0,11166700.0,-1.0
2019-12-06 09:31:07,34267.974048381,3.0,100.0,11129800.0,1.0
2019-12-06 09:31:08,34268.928036096004,1.0,44.0,11146600.0,-1.0
2019-12-06 09:31:09,34269.729226787,1.0,25.0,11147100.0,-1.0
2019-12-06 09:31:10,34270.722698898,3.0,3.0,11143900.0,-1.0
2019-12-06 09:31:11,34271.631599772,1.0,20.0,11121800.0,1.0
2019-12-06 09:31:12,34272.990092037006,1.0,1.0,11120000.0,1.0
2019-12-06 09:31:13,34273.983539358,1.0,33.0,11146800.0,-1.0
2019-12-06 09:31:14,34274.449422712,1.0,100.0,11134500.0,-1.0
2019-12-06 09:31:15,,,,,
2019-12-06 09:31:16,34276.923728002,1.0,25.0,11135200.0,-1.0
2019-12-06 09:31:17,34277.840276079,1.0,25.0,11137900.0,-1.0
2019-12-06 09:31:18,34278.826905743,1.0,100.0,11129400.0,-1.0
2019-12-06 09:31:19,34279.908146138,3.0,50.0,11124600.0,1.0
2019-12-06 09:31:20,,,,,
2019-12-06 09:31:21,34281.854223336,1.0,25.0,11135000.0,-1.0
2019-12-06 09:31:22,34282.782232516,1.0,25.0,11134800.0,-1.0
2019-12-06 09:31:23,34283.999418938,1.0,33.0,11107900.0,1.0
2019-12-06 09:31:24,34284.849582017,1.0,35.0,11133000.0,-1.0
2019-12-06 09:31:25,34285.959365288996,1.0,25.0,11129600.0,-1.0
2019-12-06 09:31:26,34286.852236413,1.0,24.0,11131400.0,-1.0
2019-12-06 09:31:27,34287.968354816,1.0,25.0,11122500.0,-1.0
2019-12-06 09:31:28,34288.955193371,1.0,52.0,11127600.0,-1.0
2019-12-06 09:31:29,34289.856386724,1.0,22.0,11127600.0,-1.0
2019-12-06 09:31:30,34290.357069276004,1.0,21.0,11127400.0,-1.0
2019-12-06 09:31:31,34291.959196856,1.0,20.0,11125900.0,-1.0
2019-12-06 09:31:32,34292.82928316,1.0,35.0,11132600.0,-1.0
2019-12-06 09:31:33,34293.30333075,3.0,2.0,11120000.0,-1.0
2019-12-06 09:31:34,34294.746812633,1.0,100.0,11126300.0,-1.0
2019-12-06 09:31:35,34295.892840281,1.0,25.0,11125000.0,-1.0
2019-12-06 09:31:36,34296.191332635,1.0,1.0,11128400.0,-1.0
2019-12-06 09:31:37,34297.959633026,1.0,1.0,11116000.0,1.0
2019-12-06 09:31:38,,,,,
2019-12-06 09:31:39,,,,,
2019-12-06 09:31:40,,,,,
2019-12-06 09:31:41,34301.927059576,1.0,80.0,11110400.0,1.0
2019-12-06 09:31:42,,,,,
2019-12-06 09:31:43,34303.316686078,1.0,26.0,11135400.0,-1.0
2019-12-06 09:31:44,34304.844085787,3.0,15.0,11119000.0,-1.0
2019-12-06 09:31:45,34305.659825687,1.0,25.0,11120200.0,-1.0
2019-12-06 09:31:46,34306.985478468996,1.0,2.0,11113800.0,-1.0
2019-12-06 09:31:47,34307.980798201,3.0,32.0,11115400.0,-1.0
2019-12-06 09:31:48,34308.881972375,3.0,21.0,11113500.0,-1.0
2019-12-06 09:31:49,34309.783543229,1.0,23.0,11093800.0,1.0
2019-12-06 09:31:50,,,,,
2019-12-06 09:31:51,34311.826784687,1.0,100.0,11112100.0,-1.0
2019-12-06 09:31:52,34312.490939514,1.0,100.0,11112100.0,-1.0
2019-12-06 09:31:53,34313.245751612005,1.0,100.0,11112100.0,-1.0
2019-12-06 09:31:54,34314.989979405,3.0,26.0,11091500.0,1.0
2019-12-06 09:31:55,34315.808605551,1.0,100.0,11125400.0,-1.0
2019-12-06 09:31:56,34316.350665186,1.0,30.0,11116400.0,-1.0
2019-12-06 09:31:57,34317.074710635,3.0,15.0,11112600.0,-1.0
2019-12-06 09:31:58,34318.732289131,3.0,26.0,11124900.0,-1.0
2019-12-06 09:31:59,,,,,
2019-12-06 09:32:00,34320.940000867005,3.0,200.0,11112100.0,-1.0
2019-12-06 09:32:01,34321.604431349,1.0,23.0,11123300.0,-1.0
2019-12-06 09:32:02,34322.119973125,3.0,30.0,11116400.0,-1.0
2019-12-06 09:32:03,34323.994251617994,1.0,27.0,11118200.0,-1.0
2019-12-06 09:32:04,34324.905848283,1.0,100.0,11113000.0,-1.0
2019-12-06 09:32:05,34325.804861509,1.0,38.0,11125700.0,-1.0
2019-12-06 09:32:06,34326.806195211,1.0,59.0,11126100.0,-1.0
2019-12-06 09:32:07,34327.735726655,1.0,100.0,11124800.0,-1.0
2019-12-06 09:32:08,34328.420616259,1.0,88.0,11126000.0,-1.0
2019-12-06 09:32:09,34329.91967137,1.0,25.0,11114900.0,-1.0
2019-12-06 09:32:10,34330.862052299,1.0,100.0,11114500.0,-1.0
2019-12-06 09:32:11,34331.99868831,1.0,100.0,11107300.0,-1.0
2019-12-06 09:32:12,34332.726010013,1.0,25.0,11112200.0,-1.0
2019-12-06 09:32:13,34333.978832317,1.0,25.0,11109300.0,-1.0
2019-12-06 09:32:14,34334.960356142,1.0,33.0,11105200.0,-1.0
2019-12-06 09:32:15,34335.956769531,1.0,10.0,11091900.0,1.0
2019-12-06 09:32:16,34336.246067281,1.0,33.0,11104400.0,-1.0
2019-12-06 09:32:17,34337.728599826,1.0,31.0,11110800.0,-1.0
2019-12-06 09:32:18,34338.923081742,1.0,52.0,11106900.0,-1.0
2019-12-06 09:32:19,34339.864999084,1.0,1.0,11103700.0,-1.0
2019-12-06 09:32:20,34340.837306451,3.0,29.0,11080600.0,1.0
2019-12-06 09:32:21,34341.878760757005,1.0,25.0,11104100.0,-1.0
2019-12-06 09:32:22,34342.981325559,1.0,88.0,11086200.0,-1.0
2019-12-06 09:32:23,34343.702043865,1.0,79.0,11071500.0,1.0
2019-12-06 09:32:24,34344.84767541,3.0,73.0,11071400.0,1.0
2019-12-06 09:32:25,34345.929960017995,1.0,100.0,11093700.0,-1.0
2019-12-06 09:32:26,34346.804010255,1.0,100.0,11094000.0,-1.0
2019-12-06 09:32:27,34347.135909612,1.0,10.0,11073400.0,1.0
2019-12-06 09:32:28,34348.897721256,1.0,100.0,11092700.0,-1.0
2019-12-06 09:32:29,34349.502895327,1.0,33.0,11090600.0,-1.0
2019-12-06 09:32:30,34350.904548558,1.0,10.0,11073100.0,1.0
2019-12-06 09:32:31,34351.981963241,1.0,100.0,11093600.0,-1.0
2019-12-06 09:32:32,34352.778461297996,1.0,100.0,11092700.0,-1.0
2019-12-06 09:32:33,34353.918287838,1.0,88.0,11089500.0,-1.0
2019-12-06 09:32:34,34354.777629292,1.0,100.0,11091900.0,-1.0
2019-12-06 09:32:35,34355.545915061004,1.0,33.0,11090700.0,-1.0
2019-12-06 09:32:36,34356.929310759,3.0,10.0,11072400.0,1.0
2019-12-06 09:32:37,34357.955875987995,1.0,25.0,11087600.0,-1.0
2019-12-06 09:32:38,34358.950220317005,1.0,56.0,11090100.0,-1.0
2019-12-06 09:32:39,34359.951553358,1.0,55.0,11065900.0,1.0
2019-12-06 09:32:40,34360.952872402995,1.0,21.0,11091000.0,-1.0
2019-12-06 09:32:41,34361.953889865,1.0,200.0,11086600.0,-1.0
2019-12-06 09:32:42,34362.996758361,1.0,200.0,11068300.0,1.0
2019-12-06 09:32:43,34363.95692595,1.0,22.0,11063800.0,1.0
2019-12-06 09:32:44,34364.872267348,1.0,100.0,11093600.0,-1.0
2019-12-06 09:32:45,34365.977090605,1.0,200.0,11069700.0,1.0
2019-12-06 09:32:46,34366.868314419,1.0,28.0,11098400.0,-1.0
2019-12-06 09:32:47,34367.960903928,1.0,25.0,11092600.0,-1.0
2019-12-06 09:32:48,34368.958451275,1.0,25.0,11092600.0,-1.0
2019-12-06 09:32:49,34369.937568771,1.0,100.0,11086800.0,-1.0
2019-12-06 09:32:50,34370.883446156,3.0,100.0,11068300.0,1.0
2019-12-06 09:32:51,34371.71163959,1.0,100.0,11095400.0,-1.0
2019-12-06 09:32:52,34372.764370553,1.0,25.0,11092600.0,-1.0
2019-12-06 09:32:53,34373.964255111,1.0,100.0,11099600.0,-1.0
2019-12-06 09:32:54,34374.999103464,1.0,100.0,11109400.0,-1.0
2019-12-06 09:32:55,34375.786686919,1.0,100.0,11099000.0,-1.0
2019-12-06 09:32:56,,,,,
2019-12-06 09:32:57,34377.976373913996,1.0,23.0,11072400.0,1.0
2019-12-06 09:32:58,34378.618984595,1.0,100.0,11065500.0,1.0
2019-12-06 09:32:59,34379.675707015,1.0,3.0,11098900.0,-1.0
2019-12-06 09:33:00,34380.980473115,1.0,22.0,11072600.0,1.0
2019-12-06 09:33:01,34381.398465068,1.0,100.0,11097600.0,-1.0
2019-12-06 09:33:02,34382.987796314,1.0,100.0,11097400.0,-1.0
2019-12-06 09:33:03,34383.865398446,1.0,66.0,11076400.0,1.0
2019-12-06 09:33:04,34384.999859236,1.0,100.0,11078200.0,1.0
2019-12-06 09:33:05,34385.88725461,1.0,21.0,11107700.0,-1.0
2019-12-06 09:33:06,34386.788046836,3.0,24.0,11107700.0,-1.0
2019-12-06 09:33:07,34387.776002658,1.0,3.0,11098900.0,-1.0
2019-12-06 09:33:08,34388.646353007,1.0,100.0,11067600.0,1.0
2019-12-06 09:33:09,34389.892744412995,1.0,25.0,11107900.0,-1.0
2019-12-06 09:33:10,34390.882463377005,1.0,1.0,11086800.0,1.0
2019-12-06 09:33:11,34391.576833544,1.0,100.0,11069100.0,1.0
2019-12-06 09:33:12,34392.696561027995,1.0,20.0,11107500.0,-1.0
2019-12-06 09:33:13,34393.998844924,1.0,59.0,11109100.0,-1.0
2019-12-06 09:33:14,34394.900023092996,1.0,26.0,11109100.0,-1.0
2019-12-06 09:33:15,34395.892833442005,1.0,100.0,11073500.0,1.0
2019-12-06 09:33:16,34396.355291002,1.0,100.0,11074600.0,1.0
2019-12-06 09:33:17,34397.406649949,1.0,25.0,11107700.0,-1.0
2019-12-06 09:33:18,34398.689795975,1.0,100.0,11084800.0,1.0
2019-12-06 09:33:19,,,,,
2019-12-06 09:33:20,34400.40730908,1.0,27.0,11109600.0,-1.0
2019-12-06 09:33:21,34401.909349131,1.0,58.0,11077200.0,1.0
2019-12-06 09:33:22,34402.914356195,1.0,29.0,11074300.0,1.0
2019-12-06 09:33:23,34403.663197723996,1.0,25.0,11099000.0,-1.0
2019-12-06 09:33:24,34404.646130886,5.0,100.0,11089500.0,1.0
2019-12-06 09:33:25,34405.283271017004,1.0,22.0,11074300.0,1.0
2019-12-06 09:33:26,34406.606928382,1.0,100.0,11075000.0,1.0
2019-12-06 09:33:27,34407.84770451,3.0,10.0,11098800.0,-1.0
2019-12-06 09:33:28,34408.920632918,1.0,10.0,11098800.0,-1.0
2019-12-06 09:33:29,34409.902330789,1.0,3.0,11098900.0,-1.0
2019-12-06 09:33:30,34410.744866798996,1.0,25.0,11105200.0,-1.0
2019-12-06 09:33:31,34411.91830161,1.0,2.0,11100100.0,-1.0
2019-12-06 09:33:32,34412.923956187995,1.0,37.0,11108300.0,-1.0
2019-12-06 09:33:33,34413.171073252,1.0,25.0,11108100.0,-1.0
2019-12-06 09:33:34,34414.934864578,1.0,25.0,11105700.0,-1.0
2019-12-06 09:33:35,34415.948736217004,1.0,26.0,11080700.0,1.0
2019-12-06 09:33:36,34416.930296672996,1.0,27.0,11084800.0,1.0
2019-12-06 09:33:37,34417.631298111,1.0,31.0,11086100.0,1.0
2019-12-06 09:33:38,34418.832867615,1.0,28.0,11109600.0,-1.0
2019-12-06 09:33:39,34419.625558816,1.0,25.0,11107700.0,-1.0
2019-12-06 09:33:40,34420.835599077,1.0,21.0,11085500.0,1.0
2019-12-06 09:33:41,34421.871973471,1.0,50.0,11100000.0,-1.0
2019-12-06 09:33:42,34422.53785668,1.0,23.0,11109500.0,-1.0
2019-12-06 09:33:43,34423.948616935,3.0,25.0,11107600.0,-1.0
2019-12-06 09:33:44,34424.740890921,1.0,22.0,11086000.0,1.0
2019-12-06 09:33:45,34425.542046546,1.0,21.0,11086200.0,1.0
2019-12-06 09:33:46,34426.552606377,1.0,25.0,11107700.0,-1.0
2019-12-06 09:33:47,34427.972974275,1.0,3.0,11115000.0,-1.0
2019-12-06 09:33:48,34428.884775407,3.0,3.0,11115000.0,-1.0
2019-12-06 09:33:49,34429.482172021,1.0,3.0,11115000.0,-1.0
2019-12-06 09:33:50,34430.88490831,1.0,58.0,11090300.0,1.0
2019-12-06 09:33:51,34431.450714707,3.0,4.0,11090400.0,1.0
2019-12-06 09:33:52,34432.251162297005,1.0,33.0,11086700.0,1.0
2019-12-06 09:33:53,34433.870422022,1.0,1.0,11090500.0,1.0
2019-12-06 09:33:54,34434.998727594,1.0,3.0,11115000.0,-1.0
2019-12-06 09:33:55,34435.755560655,3.0,27.0,11090200.0,1.0
2019-12-06 09:33:56,34436.557035716,1.0,22.0,11090200.0,1.0
2019-12-06 09:33:57,34437.457831827,3.0,21.0,11090200.0,1.0
2019-12-06 09:33:58,34438.768996362,3.0,1.0,11090300.0,1.0
2019-12-06 09:33:59,34439.823914044,1.0,20.0,11109400.0,-1.0
2019-12-06 09:34:00,34440.93692304,1.0,25.0,11115700.0,-1.0
2019-12-06 09:34:01,34441.06322293,1.0,21.0,11117600.0,-1.0
2019-12-06 09:34:02,34442.978455555,1.0,55.0,11092200.0,1.0
2019-12-06 09:34:03,34443.366420447004,1.0,21.0,11090000.0,1.0
2019-12-06 09:34:04,34444.761014286,1.0,1.0,11114000.0,-1.0
2019-12-06 09:34:05,34445.477634331,1.0,20.0,11108300.0,-1.0
2019-12-06 09:34:06,34446.912782735,3.0,64.0,11094200.0,1.0
2019-12-06 09:34:07,34447.973253307995,1.0,64.0,11090200.0,1.0
2019-12-06 09:34:08,34448.981622508,1.0,25.0,11116300.0,-1.0
2019-12-06 09:34:09,34449.979326263,3.0,1.0,11094500.0,1.0
2019-12-06 09:34:10,34450.977090652,1.0,30.0,11089600.0,1.0
2019-12-06 09:34:11,34451.639199181,1.0,5.0,11108300.0,-1.0
2019-12-06 09:34:12,34452.97995752,1.0,22.0,11089600.0,1.0
2019-12-06 09:34:13,34453.873242504,1.0,25.0,11113200.0,-1.0
2019-12-06 09:34:14,34454.983559807,1.0,21.0,11090100.0,1.0
2019-12-06 09:34:15,34455.784221859,3.0,29.0,11116700.0,-1.0
2019-12-06 09:34:16,34456.895461731,1.0,25.0,11115200.0,-1.0
2019-12-06 09:34:17,,,,,
2019-12-06 09:34:18,34458.929727753,3.0,1.0,11095100.0,1.0
2019-12-06 09:34:19,34459.833607087996,3.0,1.0,11095100.0,1.0
