,time,type,size,price,direction
2019-12-10 09:30:00.001513000,34200.00151333,4,1,11165500,1
2019-12-10 09:30:00.006005000,34200.006004669,4,1,11165500,1
2019-12-10 09:30:00.028326000,34200.028326048,4,27,11165500,1
2019-12-10 09:30:00.028326000,34200.028326048,4,4,11165500,1
2019-12-10 09:30:00.028977000,34200.028976784,4,26,11165500,1
2019-12-10 09:30:00.077417000,34200.077416759,4,34,11165500,1
2019-12-10 09:30:00.164388000,34200.164387622004,4,36,11165500,1
2019-12-10 09:30:00.164388000,34200.164387622004,4,34,11165500,1
2019-12-10 09:30:00.171283000,34200.171283238,4,1,11165500,1
2019-12-10 09:30:00.176522000,34200.17652241,4,65,11165500,1
2019-12-10 09:30:00.176522000,34200.17652241,5,1,11165500,1
2019-12-10 09:30:00.182420000,34200.182420342004,4,66,11165500,1
2019-12-10 09:30:00.219161000,34200.219160934,4,34,11165500,1
2019-12-10 09:30:00.219161000,34200.219160934,4,66,11165500,1
2019-12-10 09:30:00.220949000,34200.220949203,4,22,11165500,1
2019-12-10 09:30:00.220949000,34200.220949203,5,8,11165500,1
2019-12-10 09:30:00.227854000,34200.227853879,5,59,11165500,1
2019-12-10 09:30:00.239073000,34200.239072774,5,38,11165500,1
2019-12-10 09:30:00.315243000,34200.315243471,5,44,11165500,1
2019-12-10 09:30:00.319912000,34200.319911627004,5,98,11165500,1
2019-12-10 09:30:00.322703000,34200.322703244,5,5,11165500,1
2019-12-10 09:30:00.336306000,34200.336305572004,4,2,11158600,1
2019-12-10 09:30:00.336638000,34200.336638176,4,3,11158600,1
2019-12-10 09:30:00.336638000,34200.336638176,5,23,11149200,1
2019-12-10 09:30:00.336638000,34200.336638176,4,66,11144200,1
2019-12-10 09:30:00.336938000,34200.336937811,4,26,11139500,-1
2019-12-10 09:30:00.624357000,34200.624356551,4,15,11150700,1
2019-12-10 09:30:00.901256000,34200.901256102,4,14,11150700,1
2019-12-10 09:30:00.901741000,34200.901741096,4,3,11150700,1
2019-12-10 09:30:00.901807000,34200.901807493,4,6,11150700,1
2019-12-10 09:30:00.901875000,34200.901875276,4,3,11150700,1
2019-12-10 09:30:00.901939000,34200.901938628,4,12,11150700,1
2019-12-10 09:30:01.142328000,34201.142328288,5,1,11150800,1
2019-12-10 09:30:01.148168000,34201.148168328,5,1,11150800,1
2019-12-10 09:30:01.154663000,34201.154663137,5,5,11150800,1
2019-12-10 09:30:01.155905000,34201.155905312,5,1,11150800,1
2019-12-10 09:30:01.157848000,34201.157848336,5,2,11150800,1
2019-12-10 09:30:01.162133000,34201.162132926,5,1,11150800,1
2019-12-10 09:30:01.381534000,34201.381534055,5,5,11163800,1
2019-12-10 09:30:01.575437000,34201.575436959,4,23,11150700,1
2019-12-10 09:30:01.575571000,34201.575571208,4,24,11150700,1
2019-12-10 09:30:01.575676000,34201.575676211,4,100,11150700,-1
2019-12-10 09:30:01.576188000,34201.576188045,4,21,11150700,-1
2019-12-10 09:30:01.576188000,34201.576188045,4,19,11150700,-1
2019-12-10 09:30:01.576188000,34201.576188045,4,22,11150700,-1
2019-12-10 09:30:01.576497000,34201.576497498,4,1,11150000,1
2019-12-10 09:30:01.576497000,34201.576497498,4,20,11150000,1
2019-12-10 09:30:01.576497000,34201.576497498,4,5,11150000,1
2019-12-10 09:30:01.576497000,34201.576497498,4,1,11150000,1
2019-12-10 09:30:01.576497000,34201.576497498,4,1,11150000,1
