,time,type,size,price,direction
2019-12-16 09:30:00.015105000,34200.015105074,4,4,5794000,1
2019-12-16 09:30:00.059902000,34200.05990197,4,300,5794000,1
2019-12-16 09:30:00.113247000,34200.113246707,5,1,5795100,1
2019-12-16 09:30:00.113247000,34200.113246707,5,1,5795000,1
2019-12-16 09:30:00.113247000,34200.113246707,5,1,5794900,1
2019-12-16 09:30:00.113247000,34200.113246707,5,1,5794800,1
2019-12-16 09:30:00.113247000,34200.113246707,4,167,5794000,1
2019-12-16 09:30:00.203135000,34200.203135277,4,29,5794000,1
2019-12-16 09:30:00.203135000,34200.203135277,4,100,5794000,1
2019-12-16 09:30:00.207763000,34200.207763353,4,1,5794000,-1
2019-12-16 09:30:00.236450000,34200.236450238,4,11,5794000,1
2019-12-16 09:30:00.249457000,34200.249457498,4,29,5794000,1
2019-12-16 09:30:00.358657000,34200.35865663,5,4,5797300,-1
2019-12-16 09:30:00.696340000,34200.696339803,5,100,5794600,1
2019-12-16 09:30:00.696340000,34200.696339803,4,59,5794000,1
2019-12-16 09:30:00.696340000,34200.696339803,4,12,5794000,1
2019-12-16 09:30:01.445574000,34201.44557354,4,88,5794000,1
2019-12-16 09:30:01.445574000,34201.44557354,4,75,5791900,1
2019-12-16 09:30:01.445574000,34201.44557354,5,37,5791800,1
2019-12-16 09:30:02.184836000,34202.184836108,5,63,5791800,1
2019-12-16 09:30:02.184836000,34202.184836108,5,29,5791300,1
2019-12-16 09:30:04.414462000,34204.414461644,5,6,5791700,1
2019-12-16 09:30:05.266040000,34205.266040346,5,30,5791700,1
2019-12-16 09:30:05.266040000,34205.266040346,5,15,5791300,1
2019-12-16 09:30:05.621656000,34205.621656362004,5,28,5791300,1
2019-12-16 09:30:06.021459000,34206.021458867996,5,100,5791300,1
2019-12-16 09:30:06.027622000,34206.027622462,5,28,5791300,1
2019-12-16 09:30:06.027622000,34206.027622462,4,72,5791200,1
2019-12-16 09:30:06.029906000,34206.029906382,4,28,5791200,1
2019-12-16 09:30:06.029906000,34206.029906382,4,28,5791200,1
2019-12-16 09:30:06.029906000,34206.029906382,4,44,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,34,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,22,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,4,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,6,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,7,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,10,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,9,5791200,1
2019-12-16 09:30:06.335545000,34206.335544635,4,24,5791200,1
2019-12-16 09:30:11.058978000,34211.058977504,4,19,5790000,1
2019-12-16 09:30:12.141430000,34212.141429731004,4,21,5790000,1
2019-12-16 09:30:12.141430000,34212.141429731004,4,1,5790000,1
2019-12-16 09:30:12.141430000,34212.141429731004,4,1,5789900,1
2019-12-16 09:30:12.141430000,34212.141429731004,5,3,5789900,1
2019-12-16 09:30:12.141430000,34212.141429731004,5,3,5789300,1
2019-12-16 09:30:12.171866000,34212.171865865,4,100,5785100,-1
2019-12-16 09:30:12.171969000,34212.171969276,4,9,5785000,1
2019-12-16 09:30:12.204574000,34212.204573983996,4,10,5782100,1
2019-12-16 09:30:12.204574000,34212.204573983996,4,5,5780000,1
2019-12-16 09:30:12.204574000,34212.204573983996,4,5,5780000,1
2019-12-16 09:30:12.204574000,34212.204573983996,4,28,5780000,1
2019-12-16 09:30:12.204574000,34212.204573983996,4,50,5780000,1
2019-12-16 09:30:12.204574000,34212.204573983996,4,2,5780000,1
2019-12-16 09:30:12.204792000,34212.204791502,5,100,5780900,1
2019-12-16 09:30:12.204963000,34212.204962809,5,409,5780200,1
2019-12-16 09:30:12.204963000,34212.204962809,5,100,5780100,1
2019-12-16 09:30:12.204963000,34212.204962809,4,84,5780000,1
2019-12-16 09:30:12.205221000,34212.20522105,4,1,5779900,1
2019-12-16 09:30:12.205260000,34212.205259616,5,99,5779700,-1
2019-12-16 09:30:12.205260000,34212.205259616,5,1,5779700,-1
2019-12-16 09:30:12.205325000,34212.205324774,5,199,5779700,-1
2019-12-16 09:30:12.205325000,34212.205324774,4,1,5780000,-1
2019-12-16 09:30:12.206550000,34212.206550349,5,200,5780300,1
